BAGLANTI_TIP_ID;HAT_NO;HAT_ADI;GUZERGAH_ACIKLAMA;ACIKLAMA;HAT_BASLANGIC;HAT_BITIS;GIDIS_CALISMA_SAATI;DONUS_CALISMA_SAATI
2;537;BAYRAKLI ŞEHİR HASTANESİ-DOĞANÇAY ;Yamanlar - Org. Nafiz Gürman - Emek - Gümüşpala - Körfez;;BAYRAKLI ŞEHİR HASTANESİ;DOĞANÇAY;;06:45 - 18:45
2;539;YENİTEPE EVLERİ - SALHANE AKTARMA MERKEZİ;YEŞİLDERE - MERSİNLİ - ADLİYE;;YENİTEPE EVLERİ;SALHANE AKTARMA MERKEZİ;07:30 - 16:20;08:30 - 17:30
2;543;BOSTANLI İSKELE - H.PINAR METRO;BAYRAKLI - ADLİYE - MERSİNLİ;;BOSTANLI İSKELE;HALKAPINAR METRO;06:05 - 00:05;06:10 - 00:05
2;547;ÇİĞLİ AKTARMA MERKEZİ - BOSTANLI İSKELE;ATAŞEHİR MAH.-CAHER DUDAYEV BULV.-ŞEHİTLER BULV;;ÇİĞLİ AKT.;BOSTANLI İSKELE;06:05 - 23:20;06:45 - 00:00
2;555;OTOGAR - HALKAPINAR METRO;YEŞİLOVA - MERSİNLİ;;OTOGAR;HALKAPINAR METRO;06:00 - 00:10;06:43 - 00:50
2;557;BAYRAKLI TOPLU KONUTLAR - BAYRAKLI İZBAN ;CENGİZHAN - ALPASLAN;HATTIMIZ RİNG HAT OLUP BAYRAKLI İZBANDAN SAAT UYGULAMASI YOKTUR.;BAYRAKLI TOPLU KONUTLAR;BAYRAKLI İZBAN;06:20 - 20:20;
2;560;PINARBAŞI - HALKAPINAR METRO;5.SANAYİ - OTOGAR - KAMİL TUNCA;;PINARBAŞI;HALKAPINAR METRO;06:00 - 00:10;06:20 - 00:50
2;564;AYAKKABICILAR SİTESİ - HALKAPINAR METRO;IŞIKKENT - OTOGAR - KAMİL TUNCA;;AYAKKABICILAR SİTESİ;HALKAPINAR METRO;06:00 - 23:20;06:15 - 00:00
2;577;NAFİZ GÜRMAN-HALKAPINAR METRO 2;NAFİZ GÜRMAN - KUBİLAY CAD. - HALKAPINAR METRO 2;;NAFİZ GÜRMAN;HALKAPINAR METRO 2;06:10 - 18:40;06:50 - 19:20
2;595;9 EYLÜL MAHALLESI - BOSTANLI İSKELE;KATİP ÇELEBİ ÜNİVERSİTESİ - ATAŞEHİR - ATAKENT;;9 EYLÜL MAH.;BOSTANLI İSKELE;06:20 - 23:00;06:35 - 00:00
2;596;KATIP ÇELEBI ÜNIVERSITESI - EGEKENT AKTARMA MERKEZİ;KATİP ÇELEBİ ÜNİVERSİTESİ;;KATİP ÇELEBİ ÜNİVERSİTESİ;EGEKENT AKT.;07:45 - 15:15;07:30 - 15:00
2;597;M. ERENER - BAYRAKLI SEVGİ YOLU ;ÇAY MAHALLESİ;HAFTA İÇİ GÜNLERİ BAYRAKLI SEVGİ YOLUNDAN 16.00 SERVİSİ ADLİYEDEN BAŞLAR.;M. ERENER;BAYRAKLI SEVGİ YOLU;16:40 - 19:10;16:00 - 19:30
2;598;BAYRAKLI TOPLU KONUTLARI - BAYRAKLI İZBAN;CENGİZHAN - BAYRAKLI SEVGİ YOLU;HATTIMIZ RİNG HAT OLUP BAYRAKLI İZBANDAN SAAT UYGULAMASI YOKTUR.;BAYRAKLI TOPLU KONUTLARI;BAYRAKLI İZBAN;06:00 - 22:30;
2;599;M.ERENER - HALKAPINAR METRO;BAYRAKLI ŞEHİR HASTANESİ - ÇAY MAH. - ADLİYE - ÇINARLI EML.;;M.ERENER;HALKAPINAR METRO;05:50 - 23:45;06:25 - 00:50
2;602;MENEMEN AKTARMA - İZMİR OTOGAR ;ANADOLU CD. - PARK BORNOVA  ;ESHOT otogar son durağını kullanmaktadır.;MENEMEN AKTARMA;İZMİR OTOGAR;05:25 - 23:35;06:40 - 01:00
2;608;EGEKENT 2 - İZMİR OTOGAR ;HARMANDALI - ANADOLU CD. - PARK BORNOVA ;;EGEKENT 2;İZMİR OTOGAR;05:40 - 22:35;06:50 - 00:10
2;610;FUAR İZMİR - GAZİEMİR SEMT GARAJI;AKTEPE - AKÇAY CAD.;Hafta içi günleri 06.45 servisi Esbaş Aktarma Merkezi'nden başlar.;FUAR İZMİR;GAZİEMİR SEMT GARAJI;07:05 - 23:10;06:45 - 22:55
2;619;SEYREK - ULUKENT AKTARMA MERKEZİ 2 ;BAKIRÇAY ÜNİVERSİTESİ - GÜNERLİ MAH.;;SEYREK;ULUKENT AKTARMA MERKEZİ;05:55 - 23:30;06:20 - 23:50
2;648;GAZİ MAHALLESİ - MENEMEN AKTARMA MERKEZİ;GÖÇ İDARESİ-İNCİRLİ PINAR MAH.-MENEMEN DEV. HAST.;;GAZİ MAHALLESİ;MENEMEN AKTARMA MERKEZİ;06:00 - 19:40;07:00 - 21:00
2;657;MALTEPE - MENEMEN AKTARMA MERKEZİ;VİLLAKENT-VİLLAKENT ANADOLU LİSESİ-KESİK;;MALTEPE;MENEMEN AKTARMA MERKEZİ;06:30 - 19:25;06:30 - 19:25
