HAT_NO;HAT_ADI;GUZERGAH_ACIKLAMA;ACIKLAMA;HAT_BASLANGIC;HAT_BITIS
832;YUKARICUMA - BERGAMA;AŞAĞICUMA - OKÇULAR - İNCECİKLER;"Hafta içi günleri 07:20 servisi Yukarıbey Cami durağından başlamaktadır. 03.02.2025 tarihinden itibaren Saat 15:45 servisi Aşağıcuma Okul durağından 831 No.lu ""Demircidere-Bergama"" hattı tarafından yapılacaktır. İlçe Pazarının Olduğu Çarşamba Günü Gidiş- Mevcut Güzergahı Takiben, Adnan Menderes Bulvarı, Kavşaktan Dönüş, Adnan Menderes Bulvarı, Fabrika Caddesi, Bergama Yeni Sondurak Dönüş- Bergama Yeni Sondurak, Fabrika Caddesi, Adnan Menderes Bulvarı, Mevcut Güzergahı Devamı Hizmet Verecek Şekilde Yeniden Düzenlenmiştir.";YUKARICUMA;BERGAMA
833;GÜNEŞLİ - BERGAMA;KARAVELİLER - KAPIKAYA;İlçe Pazarının Olduğu Çarşamba Günü Gidiş- Mevcut Güzergahı Takiben, Adnan Menderes Bulvarı, Kavşaktan Dönüş, Adnan Menderes Bulvarı, Fabrika Caddesi, Bergama Yeni Sondurak Dönüş- Bergama Yeni Sondurak, Fabrika Caddesi, Adnan Menderes Bulvarı, Mevcut Güzergahı Devamı Hizmet Verecek Şekilde Yeniden Düzenlenmiştir.;GÜNEŞLİ;BERGAMA
834;YENİ MAHALLE - ALİAĞA AKTARMA MERKEZİ;PAZAR YERİ - ALİAĞA DEVLET HAST. - İLÇE MERKEZİ;;YENİ MAHALLE;ALİAĞA AKTARMA MERKEZİ
835;BERGAMA - ALİAĞA AKTARMA MERKEZİ;KURFALLI-YENİ ŞAKRAN-ÇALTIDERE;Bergama İlçe Pazarının Olduğu Çarşamba Günleri Dönüş- Mevcut Güzergahı Takiben, Adnan Menderes Bulvarı, Kavşaktan Dönüş, Adnan Menderes Bulvarı, Fabrika Caddesi, Bergama Yeni Sondurak Gidiş- Bergama Yeni Sondurak, Fabrika Caddesi, Adnan Menderes Bulvarı, Mevcut Güzergahı Devamı Hizmet Verecek Şekilde Yeniden Düzenlenmiştir. Hattımız Aktarma Merkezinden Kalkışlarda İZBAN Geliş saatlerine göre hareket ettiğinden planlanan hareket saatlerinde gecikmeler yaşanabilmektedir.;BERGAMA;ALİAĞA
836;KINIK-BERGAMA;BERGAMA DEVLET HASTANESİ;Bergama İlçe Pazarının Olduğu Çarşamba Günü Gidiş- Mevcut Güzergahı Takiben, Adnan Menderes Bulvarı, Kavşaktan Dönüş, Adnan Menderes Bulvarı, Fabrika Caddesi, Bergama Yeni Sondurak Dönüş- Bergama Yeni Sondurak, Fabrika Caddesi, Adnan Menderes Bulvarı, Mevcut Güzergahı Devamı Hizmet Verecek Şekilde Yeniden Düzenlenmiştir.;KINIK;BERGAMA
837;DİKİLİ-ALİAĞA AKTARMA MERKEZİ;ÇANDARLI-YENİ ŞAKRAN-ÇALTIDERE;HAFTAİÇİ DİKİLİ'DEN 05:30 - 06:35 - 07:20 - 08:05 - 08:45 - 12:40 - 15:20- 16:00 - 16:45 -  19:20'DE, ALİAĞA'DAN 06:45 - 07:10 -  08:23 - 12:23 - 13:40 - 15:11 -  16:23  - 17:40 - 18:23- 19:11 - 21:10 DA KALKAN ARAÇLAR, CUMARTESİ DİKİLİ'DEN 05:40 - 07:20 - 13:30 - 18:45'DE, ALİAĞA'DAN 07:10 - 12:50- 19:25 - 20:25'DE KALKAN ARAÇLAR, PAZAR DİKİLİ'DEN 05:40'DA KALKAN ARAÇ DELİKTAŞ'A UĞRAR. HATTIMIZ AKTARMA MERKEZİNDEN KALKIŞLARDA İZBAN GELİŞ SAATLERİNE GÖRE HAREKET ETTİĞİNDEN PLANLANAN HAREKET SAATLERİNDE GECİKMELER YAŞANABİLMEKTEDİR.;DİKİLİ;ALİAĞA
838;ŞİRİNYER AKTARMA MERKEZİ - GÜMRÜK;GÜVEN MAH. -  GÜRÇEŞME CAD.-BASMANE;Hafta içi günleri Şirinyer Aktarma Merkezi'nden 07.30, 07.42, 07.54, 08.02 ve 08.16 servisleri Çamlık Cami Durağı'ndan başlar.;ŞİRİNYER AKT.;GÜMRÜK
839;DİKİLİ DEVLET HASTANESİ - DİKİLİ İLÇE GARAJI;Barışkent - Dikili İlçe Merkezi;HATTIMIZ RİNG HAT OLUP DİKİLİ DEVLET HASTANESİNDEN SAAT UYGULAMASI YOKTUR;DİKİLİ DEVLET HASTANESİ;DİKİLİ İLÇE GARAJI
842;ZEYTİNDAĞ - BERGAMA;YENİKENT - KURFALLI;İlçe Pazarının Olduğu Çarşamba Günleri Dönüş- Mevcut Güzergahı Takiben, Adnan Menderes Bulvarı, Kavşaktan Dönüş, Adnan Menderes Bulvarı, Fabrika Caddesi, Bergama Yeni Sondurak Gidiş- Bergama Yeni Sondurak, Fabrika Caddesi, Adnan Menderes Bulvarı, Mevcut Güzergahı Devamı Hizmet Verecek Şekilde Yeniden Düzenlenmiştir.;ZEYTİNDAĞ;BERGAMA
847;POSTACILAR MAHALLESİ - KARŞIYAKA İSKELE;YENİ GİRNE - GİRNE;;BAYRAKLI EVLERİ;KARŞIYAKA İSKELE
848;KOYUNDERE - ULUKENT AKTARMA MERKEZİ 1;KOYUNDERE - EGEKENT 2 İSTASYON;;KOYUNDERE;ULUKENT AKTARMA MERKEZİ
849;YENİ ŞAKRAN MAHALLESİ - ALİAĞA AKTARMA;ŞAKRAN CEZAEVİ-ÇALTILIDERE- ALİAĞA İLÇE AKTARMA MERKEZİ;;YENİ ŞAKRAN MAHALLESİ;ALİAĞA AKTARMA
