DURAK_ID;DURAK_ADI;ENLEM;BOYLAM;DURAKTAN_GECEN_HATLAR
10289;Hıfzıssıhha;38.393188;27.085855;517-681-811-879-950
10290;Denizmen;38.3936;27.0806;517-681-879-950
10291;Palamutarası Giriş;38.08756841144980;27.22649119414140;792
10292;Göztepe Stadı;38.3949;27.0759;517-681-879-950
10293;Atatürk Eğtim ve Araştırma Hastanesi Hatay Ek Binası;38.40340950404250;27.11323353868520;21
10295;Murat Reis Cami;38.40506650747280;27.11375553300440;21
10296;Üçyol Aktarma;38.4042;27.1185;
10298;Üçyol Aktarma;38.4040;27.1183;92-108
10300;Üçyol Aktarma;38.4039;27.1181;89-490
10304;Üçyol Aktarma;38.4037;27.1178;522
10306;Üçyol Aktarma;38.4035;27.1176;124-524
10308;Üçyol Aktarma;38.4033;27.1173;156-556
10310;Üçyol Aktarma;38.403164;27.117180;523-823
10312;Üçyol Aktarma;38.403375;27.117118;16-84-520-575
10321;Kent Müzesi;38.4248;27.1385;470-680-681-691-910-930-940-950
10322;Kent Müzesi;38.42628058645530;27.13954571993180;470-680-681-691-910-930-940-950
10323;Montrö;38.42860061960840;27.14170038060030;49-681-940
10324;Montrö;38.42925789815760;27.14164933939070;680-811-951
10327;Lozan;38.4310;27.1426;811-951
10329;Hocazade Cami;38.4332;27.1444;930-951
10330;Montrö;38.42875511386710;27.14154294074650;202-691-910-930-940-950
10332;Lozan;38.43114931549620;27.14246584439410;930-951
10333;Tekel;38.4357;27.1468;930-951
10336;Hocazade Cami;38.4337;27.1444;930-951
10338;Tekel;38.4357;27.1464;930-951
10349;Mürsel Paşa;38.424030;27.145440;951
10350;Mürsel Paşa;38.4242;27.1455;811-951
10353;Kültürpark;38.42695059356830;27.14167035233920;49-811
10356;Basmane Gar;38.4223;27.1448;34-35-36-39-41-42-44-45-46-49-302-466-838
10357;Basmane Gar;38.4224;27.1455;34-35-36-39-41-42-44-45-46-49-302-466-838
10358;Kemer;38.42242721567940;27.14891767477980;34-35-36-39-41-42-44-45-46-49-302-466-838
10359;Kemer 1;38.4221;27.1503;49-302
10361;Kemer 2;38.4220;27.1506;34-35-36-39-41-42-44-45-46-466-838
10362;Eşref Paşa Hastanesi;38.4234;27.16;44-45-54-57-58-59-60-64-117-153-214-249-302-367-418-662-699
10363;Eşref Paşa Hastanesi;38.42324981091650;27.16153367627210;44-45-49-54-57-58-59-60-64-117-153-214-249-302-367-418-662-699
10364;Ziya Gökalp Ortaokulu;38.42330062922950;27.162700273705;44-45-54-57-58-59-60-64-117-153-214-249-302-367-418-662-699
10365;Ziya Gökalp Ortaokulu;38.42325191660630;27.16311655634750;44-45-49-54-57-58-59-60-64-117-153-214-249-302-367-418-662-699
10366;Tepecik Doğum Hastanesi;38.42400063809280;27.16620025637120;44-45-54-57-58-59-60-64-117-153-214-249-302-367-418-662-699
10367;Tepecik Doğum Hastanesi;38.42390063807880;27.16630025630480;44-45-54-57-58-59-60-64-117-153-214-249-302-367-418-662-699
10368;Yenişehir PTT;38.424802;27.169150;44-45-54-57-58-59-60-64-117-153-214-249-302-367-418-662-699
10369;Yenişehir PTT;38.424750;27.170082;44-45-54-57-58-59-60-64-117-153-214-249-302-367-418-662-699
10370;Halkapınar İZSU;38.42560065718020;27.17340022002770;54-57-58-59-60-64-117-153-154-214-249-302-367-662-699
10371;Halkapınar İZSU;38.42560065892380;27.17420021664660;54-57-58-59-60-64-117-153-154-214-249-302-367-662-699
10384;Çayırlı Bahçe;38.425881779462;27.14748491199180;811-951
10385;Çayırlı Bahçe;38.42601060403520;27.147710328969;951
10386;Dispanser;38.42770553684820;27.14946762093140;811-951
10387;Kahramanlar Dispanser;38.42759826724840;27.14965366640180;951
10388;Mimar Sinan;38.430330;27.148620;811-951
10389;Mimar Sinan;38.430370;27.1489;951
10390;26 Ağustos Kapısı;38.43115634761910;27.14555590907530;811-951
10391;26 Ağustos Kapısı;38.43117118919910;27.14583556475830;951
10413;Alsancak Gar;38.438424;27.147495;121-951
10415;Alsancak Gar;38.438517;27.147629;121-253-920-930-951
10418;Alsancak Gar;38.43978156949220;27.14805139979090;121-253-912-951-963
10421;Tariş;38.4402;27.1508;121-912-920-930-951-963
10423;Tariş;38.440270;27.1508;
10424;Liman;38.44030063490780;27.14990026733180;121-912-920-930-951
10425;Liman;38.4405;27.1556;121-912-920-930-951-963
10426;Umur Bey;38.4402;27.1577;253-930-951
10428;Aydibi;38.4396;27.1601;253-930-951
10430;Yaşar Üniversitesi;38.4391;27.1621;253-930-951
10449;Basın;38.437940;27.154178;253
10451;Umurbey Depolar;38.43532263718870;27.15495426362370;253
10453;İzelman;38.432203;27.155908;253
10454;Halkapınar Metro;38.43350166527690;27.16904420842610;515-534
10455;Halkapınar Metro;38.43347028641380;27.16881278932620;543
10456;Halkapınar Metro;38.43341066482650;27.16893320926890;498
10457;Halkapınar Metro;38.43340766564220;27.16929320770860;168-534-930
10458;Halkapınar Metro;38.43329466403960;27.168698210751;
10459;Halkapınar Metro;38.43314766464440;27.16910320955990;102-504
10460;Halkapınar Metro;38.43325366481280;27.16907620926150;503-513-599
10462;Halkapınar Metro;38.433149;27.169282;501-502
10463;Halkapınar Metro;38.432924;27.169364;364
10464;Halkapınar Metro;38.433038;27.169396;154
10465;Eski Sümerbank;38.436391;27.158815;253
10467;Milli Eğitim Lojmanları;38.434892;27.157821;253
10469;Halkapınar Metro;38.433093;27.169763;53
10470;Halkapınar Metro;38.432826;27.169620;475
10471;Halkapınar Metro;38.432766;27.169153;564
10473;Halkapınar Metro;38.433106;27.168841;560
10491;Halkapınar 2;38.43547966690410;27.16790920557190;147-335-434
10492;Halkapınar 2;38.435487714442;27.16801181678610;77-477-577
10493;Halkapınar 2;38.43545689106150;27.16813211318450;240
10494;Halkapınar 2;38.43546943042690;27.16825129088490;78-148-426
10496;Halkapınar 2;38.43549776255390;27.168419277662;253-951
